trade_date,actual_log_return,sarimax_prediction,is_out_of_sample,data_split,forecast_mode,oof_fold
2018-03-08,0.004827420552534636,0.00015033157007395375,True,validation,one_step_walk_forward,
2018-03-09,0.017252680326730694,-0.00014455557738616995,True,validation,one_step_walk_forward,
2018-03-12,-0.0012558752739862213,-0.0008403565539888881,True,validation,one_step_walk_forward,
2018-03-13,-0.006483661588719202,0.00019766144439898546,True,validation,one_step_walk_forward,
2018-03-14,-0.00514480123251495,0.0004889334423963234,True,validation,one_step_walk_forward,
2018-03-15,-0.0010902701411566486,0.00041109110040209163,True,validation,one_step_walk_forward,
2018-03-16,-0.002913286019644701,0.00018277995911891812,True,validation,one_step_walk_forward,
2018-03-19,-0.013622718723915883,0.00028806317575930617,True,validation,one_step_walk_forward,
2018-03-20,0.001699254141819521,0.0008901778647505438,True,validation,one_step_walk_forward,
2018-03-21,-0.0019210893881974704,3.140334858457865e-05,True,validation,one_step_walk_forward,
2018-03-22,-0.025314885505682536,0.00023464582060302486,True,validation,one_step_walk_forward,
2018-03-23,-0.021545054881122266,0.0015451955171969635,True,validation,one_step_walk_forward,
2018-03-26,0.026991461654006305,0.0013311583672098392,True,validation,one_step_walk_forward,
2018-03-27,-0.017158090832078213,-0.0013962105654393786,True,validation,one_step_walk_forward,
2018-03-28,-0.0029591687796165682,0.001082023140393018,True,validation,one_step_walk_forward,
2018-03-29,0.01269666927359303,0.0002819764306084383,True,validation,one_step_walk_forward,
2018-04-02,-0.021820975402381346,-0.0006004567870527752,True,validation,one_step_walk_forward,
2018-04-03,0.012735537427426051,0.001340021576935696,True,validation,one_step_walk_forward,
2018-04-04,0.010642286151652277,-0.0005986158012159135,True,validation,one_step_walk_forward,
2018-04-05,0.007861027034026642,-0.0004809762107001246,True,validation,one_step_walk_forward,
2018-04-06,-0.022537931476096573,-0.0003213833377327667,True,validation,one_step_walk_forward,
2018-04-09,0.004916274982333761,0.0013842964073133082,True,validation,one_step_walk_forward,
2018-04-10,0.015775273241340624,-0.00015925452476486855,True,validation,one_step_walk_forward,
2018-04-11,-0.00525604477589649,-0.0007678096212703228,True,validation,one_step_walk_forward,
2018-04-12,0.008193452924804723,0.000414375044617888,True,validation,one_step_walk_forward,
2018-04-13,-0.0029374081489083083,-0.000338921404117892,True,validation,one_step_walk_forward,
2018-04-16,0.008188119499643706,0.0002859253659042402,True,validation,one_step_walk_forward,
2018-04-17,0.010641624190932739,-0.00033872168260510807,True,validation,one_step_walk_forward,
2018-04-18,0.0007399911570353793,-0.00047745430706408915,True,validation,one_step_walk_forward,
2018-04-19,-0.005562986896832211,8.320174746807594e-05,True,validation,one_step_walk_forward,
2018-04-20,-0.008515567039637552,0.00044115922458901345,True,validation,one_step_walk_forward,
2018-04-23,-0.00014996071858595708,0.0006098504357873482,True,validation,one_step_walk_forward,
2018-04-24,-0.013558875321530377,0.0001412537813494368,True,validation,one_step_walk_forward,
2018-04-25,0.00246859804023608,0.0008969256752250196,True,validation,one_step_walk_forward,
2018-04-26,0.010114411105506966,-3.3303463123853547e-06,True,validation,one_step_walk_forward,
2018-04-27,0.0009383152387381556,-0.00043568752180682163,True,validation,one_step_walk_forward,
2018-04-30,-0.007720255132814476,7.70735913482256e-05,True,validation,one_step_walk_forward,
2018-05-01,0.0017752982142209552,0.0005634489007204495,True,validation,one_step_walk_forward,
2018-05-02,-0.00674014707048817,2.9664801758380138e-05,True,validation,one_step_walk_forward,
2018-05-03,-0.0022061439922913396,0.0005084334569544792,True,validation,one_step_walk_forward,
2018-05-04,0.012863350788101215,0.0002499107608845515,True,validation,one_step_walk_forward,
2018-05-07,0.003377585715348559,-0.0005974176425373491,True,validation,one_step_walk_forward,
2018-05-08,0.0,-6.387973360344739e-05,True,validation,one_step_walk_forward,
2018-05-09,0.009619352007434372,0.00012730590266386147,True,validation,one_step_walk_forward,
2018-05-10,0.009307162267612242,-0.00041144574813826464,True,validation,one_step_walk_forward,
2018-05-11,0.003046663385067629,-0.00039541886075771784,True,validation,one_step_walk_forward,
2018-05-14,0.00047635667222540955,-4.266256930927631e-05,True,validation,one_step_walk_forward,
2018-05-15,-0.006910793655447388,0.00010451823512105372,True,validation,one_step_walk_forward,
2018-05-16,0.004196215302757945,0.0005259613053109257,True,validation,one_step_walk_forward,
2018-05-17,-0.0008451280934807857,-9.723288715627584e-05,True,validation,one_step_walk_forward,
2018-05-18,-0.0025031234696764274,0.00018741810778644032,True,validation,one_step_walk_forward,
2018-05-21,0.007490428315173807,0.0002767412067720495,True,validation,one_step_walk_forward,
2018-05-22,-0.0027840224319636165,-0.00028611560467822544,True,validation,one_step_walk_forward,
2018-05-23,0.002747405579097633,0.0002915290387326626,True,validation,one_step_walk_forward,
2018-05-24,-0.0020506729982943967,-2.2816748958176937e-05,True,validation,one_step_walk_forward,
2018-05-25,-0.002385518768943073,0.0002450295617134051,True,validation,one_step_walk_forward,
2018-05-29,-0.01156767701107844,0.0002597731439681501,True,validation,one_step_walk_forward,
2018-05-30,0.013256463199218327,0.000762147408444702,True,validation,one_step_walk_forward,
